date,month_label,provider,country_iso3,order_payment_type,payment_method,card_brand,gender,offer,orders_count,total_payout_usd
2025-10-01,Oct 2025,PP,GBR,first,APM,Unknown,male,2828,203,5706.772811
2025-10-01,Oct 2025,Raz,IND,recurring,card,MASTERCARD,male,8484,72,5649.052449
2025-10-01,Oct 2025,Raz,IND,recurring,card,VISA,male,728,150,5623.606553
2025-10-01,Oct 2025,Nuv,MEX,first,card,VISA,male,2828,336,5622.793908
2025-10-01,Oct 2025,Raz,IND,recurring,card,VISA,male,No offer,142,5609.690996
2025-10-01,Oct 2025,Che,MEX,recurring,card,VISA,male,8484,89,5550.297771
2025-10-01,Oct 2025,Eb,CHL,recurring,card,VISA,male,2828,145,5508.55
2025-10-01,Oct 2025,Nuv,ESP,upsell,apple_pay,VISA,male,No offer,102,5472.914053
2025-10-01,Oct 2025,Nuv,PER,upsell,card,VISA,male,No offer,120,5449.308343
2025-10-01,Oct 2025,Che,USA,upsell,apple_pay,AMEX,male,No offer,93,5416.446194
2025-10-01,Oct 2025,PP,CAN,first,APM,Unknown,male,2828,278,5411.624777
2025-10-01,Oct 2025,Ad,JPN,recurring,apple_pay,JCB,male,2828,140,5368.236944
2025-10-01,Oct 2025,Eb,MEX,recurring,card,AMEX,male,2828,132,5245.680915
2025-10-01,Oct 2025,PP,AUS,first,APM,Unknown,male,2828,264,5172.870629
2025-10-01,Oct 2025,Eb,BRA,first,card,VISA,male,2828,252,5126.781469
2025-10-01,Oct 2025,Nuv,ITA,recurring,apple_pay,MASTERCARD,male,2828,118,5119.735118
2025-10-01,Oct 2025,Nuv,DEU,recurring,apple_pay,VISA,male,2828,109,5088.127572
2025-10-01,Oct 2025,Nuv,COL,recurring,card,VISA,male,2828,155,5063.63
2025-10-01,Oct 2025,Nuv,FRA,upsell,apple_pay,VISA,male,No offer,92,5055.269782
2025-10-01,Oct 2025,Sol,USA,recurring,card,VISA,male,8484,65,5039.36
2025-10-01,Oct 2025,Ad,CAN,recurring,apple_pay,VISA,male,8484,62,5013.78
2025-10-01,Oct 2025,Sol,IDN,recurring,card,VISA,male,2828,140,5000.2
2025-10-01,Oct 2025,PP,ITA,recurring,APM,Unknown,male,8484,52,4962.91345
2025-10-01,Oct 2025,Nuv,MEX,recurring,card,VISA,male,2828,138,4908.051027
2025-10-01,Oct 2025,Nuv,CAN,upsell,apple_pay,VISA,male,No offer,103,4848.018287
2025-10-01,Oct 2025,PP,BRA,recurring,APM,Unknown,male,2828,128,4650.050328
2025-10-01,Oct 2025,Sol,ZAF,first,card,VISA,male,2828,230,4645.994333
2025-10-01,Oct 2025,Ad,FRA,recurring,apple_pay,MASTERCARD,male,2828,97,4634.242735
2025-10-01,Oct 2025,Raz,IND,first,card,MASTERCARD,male,8484,126,4632.685603
2025-10-01,Oct 2025,Sol,ZAF,recurring,card,VISA,male,8484,61,4619.39
2025-10-01,Oct 2025,Ad,CHE,recurring,apple_pay,VISA,male,2828,113,4583.58
2025-10-01,Oct 2025,Nuv,ARE,upsell,apple_pay,VISA,male,No offer,88,4519.234203
2025-10-01,Oct 2025,Ad,GBR,upsell,apple_pay,MASTERCARD,male,No offer,61,4514.907412
2025-10-01,Oct 2025,Nuv,ITA,recurring,apple_pay,VISA,male,2828,99,4506.332906
2025-10-01,Oct 2025,Che,PER,upsell,card,VISA,male,No offer,103,4409.894606
2025-10-01,Oct 2025,Sol,PHL,recurring,card,VISA,male,2828,120,4408.81
2025-10-01,Oct 2025,Raz,IND,upsell,card,MASTERCARD,male,No offer,80,4408.637107
2025-10-01,Oct 2025,Sol,AUS,upsell,card,MASTERCARD,male,No offer,79,4373.22
2025-10-01,Oct 2025,PP,ITA,upsell,APM,Unknown,male,No offer,84,4368.989152
2025-10-01,Oct 2025,Ad,AUS,recurring,apple_pay,AMEX,male,2828,99,4355.01
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,VISA,male,728,134,4341.961475
2025-10-01,Oct 2025,Sol,IND,recurring,card,VISA,male,2828,116,4319.46983
2025-10-01,Oct 2025,Eb,CHL,recurring,card,MASTERCARD,male,2828,112,4288.88
2025-10-01,Oct 2025,Ad,NLD,recurring,apple_pay,MASTERCARD,male,2828,84,4288.788668
2025-10-01,Oct 2025,Pay,CAN,recurring,apple_pay,MASTERCARD,male,2828,106,4284.6
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,AMEX,male,8484,40,4275.938917
2025-10-01,Oct 2025,Che,USA,upsell,card,MASTERCARD,male,No offer,101,4260.194295
2025-10-01,Oct 2025,PP,CAN,first,APM,Unknown,male,8484,110,4213.555911
2025-10-01,Oct 2025,Ad,ESP,recurring,apple_pay,MASTERCARD,male,2828,87,4205.546124
2025-10-01,Oct 2025,Sol,AUS,first,card,MASTERCARD,male,8484,97,4187.83
2025-10-01,Oct 2025,Sol,USA,upsell,card,AMEX,male,No offer,71,4123.29
2025-10-01,Oct 2025,Nuv,DEU,recurring,apple_pay,MASTERCARD,male,2828,96,4121.532734
2025-10-01,Oct 2025,Ad,MEX,recurring,apple_pay,AMEX,male,2828,103,4101.697012
2025-10-01,Oct 2025,PP,GBR,first,APM,Unknown,male,8484,79,4089.144332
2025-10-01,Oct 2025,Nuv,AUS,recurring,apple_pay,VISA,male,2828,94,4089.06
2025-10-01,Oct 2025,Sol,ARE,recurring,apple_pay,VISA,male,2828,107,4069.656942
2025-10-01,Oct 2025,Che,MEX,recurring,card,MASTERCARD,male,2828,117,4057.702711
2025-10-01,Oct 2025,PP,MEX,first,APM,Unknown,male,8484,118,4053.067119
2025-10-01,Oct 2025,Che,ARE,recurring,card,VISA,male,2828,123,4042.773255
2025-10-01,Oct 2025,Sol,ARE,recurring,apple_pay,MASTERCARD,male,2828,104,4040.088453
2025-10-01,Oct 2025,Sol,ZAF,upsell,apple_pay,VISA,male,No offer,68,4007.177128
2025-10-01,Oct 2025,Sol,AUS,first,card,MASTERCARD,male,2828,184,4006.57
2025-10-01,Oct 2025,Sol,ISR,recurring,card,MASTERCARD,male,2828,98,3899.02
2025-10-01,Oct 2025,Nuv,FRA,recurring,apple_pay,VISA,male,8484,38,3894.470464
2025-10-01,Oct 2025,Pay,AUS,upsell,apple_pay,MASTERCARD,male,No offer,76,3891.32
2025-10-01,Oct 2025,Pay,MEX,recurring,apple_pay,VISA,male,2828,105,3886.045171
2025-10-01,Oct 2025,Pay,AUS,first,apple_pay,MASTERCARD,male,2828,197,3879.01
2025-10-01,Oct 2025,Sol,JPN,recurring,card,VISA,male,2828,101,3853.237385
2025-10-01,Oct 2025,PP,BEL,recurring,APM,Unknown,male,2828,87,3842.185082
2025-10-01,Oct 2025,Che,USA,recurring,card,AMEX,male,8484,49,3841.021417
2025-10-01,Oct 2025,Ad,GBR,first,apple_pay,MASTERCARD,male,8484,63,3815.97973
2025-10-01,Oct 2025,Eb,BRA,upsell,card,VISA,male,No offer,76,3773.128553
2025-10-01,Oct 2025,Sol,FRA,upsell,apple_pay,VISA,male,No offer,65,3763.679069
2025-10-01,Oct 2025,Sol,USA,recurring,card,VISA,female,2828,97,3749.03
2025-10-01,Oct 2025,Sol,CHE,recurring,apple_pay,MASTERCARD,male,2828,95,3739.05
2025-10-01,Oct 2025,Eb,MEX,recurring,card,VISA,male,8484,49,3737.469515
2025-10-01,Oct 2025,Sol,USA,recurring,apple_pay,AMEX,male,2828,93,3719.07
2025-10-01,Oct 2025,Pay,ARE,recurring,card,VISA,male,2828,105,3719.06
2025-10-01,Oct 2025,Che,IND,recurring,card,VISA,male,2828,198,3695.533149
2025-10-01,Oct 2025,Che,ARE,recurring,apple_pay,MASTERCARD,male,2828,106,3695.042028
2025-10-01,Oct 2025,Nuv,COL,first,card,MASTERCARD,male,2828,215,3670.14
2025-10-01,Oct 2025,Che,USA,first,apple_pay,AMEX,male,2828,187,3620.663511
2025-10-01,Oct 2025,Ad,USA,recurring,card,VISA,male,8484,46,3599.54
2025-10-01,Oct 2025,Che,USA,first,apple_pay,VISA,male,8484,101,3567.302378
2025-10-01,Oct 2025,Sol,JPN,recurring,card,MASTERCARD,male,2828,93,3561.077165
2025-10-01,Oct 2025,Nuv,ARE,recurring,apple_pay,VISA,male,2828,104,3536.042858
2025-10-01,Oct 2025,Ad,SGP,recurring,apple_pay,VISA,male,2828,89,3534.32
2025-10-01,Oct 2025,Sol,BRA,recurring,apple_pay,VISA,male,2828,89,3509.11
2025-10-01,Oct 2025,Che,COL,upsell,card,MASTERCARD,male,No offer,80,3459.892935
2025-10-01,Oct 2025,Che,USA,recurring,apple_pay,MASTERCARD,male,728,102,3450.045162
2025-10-01,Oct 2025,Eb,BRA,first,card,MASTERCARD,male,8484,85,3430.882636
2025-10-01,Oct 2025,Nuv,CAN,first,apple_pay,VISA,male,2828,174,3427.888564
2025-10-01,Oct 2025,Sol,CAN,first,card,MASTERCARD,male,2828,153,3388.406639
2025-10-01,Oct 2025,Nuv,MEX,first,card,VISA,male,8484,98,3370.883803
2025-10-01,Oct 2025,Sol,DEU,recurring,apple_pay,VISA,male,2828,63,3339.628614
2025-10-01,Oct 2025,Nuv,NZL,recurring,apple_pay,VISA,male,2828,113,3335.441037
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,MASTERCARD,male,728,59,3296.450597
2025-10-01,Oct 2025,Nuv,AUS,upsell,apple_pay,VISA,male,No offer,60,3289.44
2025-10-01,Oct 2025,Eb,BRA,recurring,card,VISA,male,8484,44,3266.806048
2025-10-01,Oct 2025,PP,FRA,recurring,APM,Unknown,male,8484,37,3266.273398
2025-10-01,Oct 2025,PP,CHE,upsell,APM,Unknown,male,No offer,73,3223.505247
2025-10-01,Oct 2025,Ad,JPN,recurring,apple_pay,MASTERCARD,male,2828,84,3209.930462
2025-10-01,Oct 2025,Sol,MYS,recurring,card,MASTERCARD,male,2828,87,3209.14
2025-10-01,Oct 2025,PP,AUT,upsell,APM,Unknown,male,No offer,57,3164.854816
2025-10-01,Oct 2025,Nuv,MEX,recurring,card,MASTERCARD,male,2828,91,3132.972823
2025-10-01,Oct 2025,Che,BRA,recurring,card,VISA,male,2828,83,3116.599897
2025-10-01,Oct 2025,Che,MEX,upsell,card,VISA,male,No offer,70,3072.725507
2025-10-01,Oct 2025,PP,PHL,recurring,APM,Unknown,male,2828,85,3067.523225
2025-10-01,Oct 2025,PP,FRA,first,APM,Unknown,male,2828,124,3054.812131
2025-10-01,Oct 2025,Nuv,ESP,first,apple_pay,VISA,male,2828,126,3053.584006
